Question_ID,Fine-tuned_Correct,Base_Correct,No_CORA_Correct,No_DARA_Correct,No_Verification_Correct,Claude_Correct,Deepseek_Correct,Gpt_Correct,Mistral_Correct,Qwen_Correct
test_0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_1,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes
test_3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
test_4,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
test_5,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
test_8,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
test_9,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No
test_11,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes
test_12,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
test_16,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_17,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_18,No,No,No,Yes,No,No,No,No,No,No
test_19,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_20,No,No,No,No,No,Yes,Yes,Yes,No,No
test_21,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_23,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_25,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No
test_27,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
test_30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_33,Yes,No,No,No,No,Yes,No,No,No,No
test_37,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
test_38,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_43,No,No,Yes,No,No,No,No,No,Yes,No
test_45,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_46,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
test_51,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
test_56,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
test_57,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_58,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_62,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_63,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
test_66,Yes,No,Yes,Yes,Yes,No,No,No,No,No
test_68,No,No,No,No,No,Yes,No,No,Yes,No
test_72,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
test_77,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
test_78,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
test_80,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
test_82,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_83,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_86,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_88,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
test_89,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_92,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
test_95,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_96,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_100,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No
test_101,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_104,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_105,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes
test_109,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
test_110,No,No,No,No,No,Yes,Yes,Yes,No,No
test_112,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
test_113,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_116,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_117,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_120,No,No,No,No,No,No,Yes,No,Yes,No
test_123,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_124,No,No,Yes,No,No,Yes,Yes,No,Yes,No
test_126,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_128,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_131,Yes,No,No,No,No,Yes,No,Yes,No,No
test_132,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
test_134,No,No,No,No,No,No,No,Yes,No,No
test_136,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
test_137,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
test_138,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
test_139,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_143,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
test_145,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_149,Yes,No,No,No,No,Yes,Yes,Yes,No,No
test_155,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No
test_156,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_159,Yes,Yes,No,No,No,Yes,No,No,No,Yes
test_161,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_163,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_164,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes
test_165,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_167,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
test_168,Yes,Yes,No,No,No,No,No,No,Yes,Yes
test_169,Yes,No,Yes,Yes,Yes,No,No,No,No,No
test_170,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
test_174,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_175,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_176,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_183,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
test_185,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_186,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_191,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_196,Yes,No,No,No,No,Yes,Yes,Yes,No,No
test_205,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_208,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
test_209,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
val_0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
val_9,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No
val_12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_14,No,No,Yes,No,No,No,Yes,No,Yes,Yes
val_15,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes
val_17,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
val_20,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
val_21,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
val_23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_25,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
val_29,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
val_31,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_32,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_35,Yes,No,Yes,Yes,Yes,No,No,No,No,No
val_37,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
val_38,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_40,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_42,Yes,No,No,No,No,Yes,No,Yes,No,Yes
val_45,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
val_47,Yes,No,No,No,No,No,No,No,No,Yes
val_48,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_50,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No
val_51,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_53,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_55,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_56,No,No,Yes,No,No,No,Yes,No,No,Yes
val_57,Yes,No,No,No,No,Yes,Yes,Yes,No,No
val_60,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
val_63,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
val_65,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_66,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes
val_70,Yes,No,No,No,No,Yes,Yes,Yes,No,No
val_72,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes
val_76,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_77,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
val_79,No,No,Yes,Yes,No,Yes,Yes,No,No,No
val_80,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
val_82,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_83,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_85,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No
val_86,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
val_89,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
